Date,Open,High,Low,Close,Adj Close
"Dec 31, 2024",191.05,198.68,187.98,189.26,189.26
"Dec 30, 2024",189.74,196.12,185.94,191.03,191.03
"Dec 29, 2024",195.02,197.18,188.34,189.74,189.74
"Dec 28, 2024",183.83,195.44,183.83,195.01,195.01
"Dec 27, 2024",188.22,193.75,182.95,183.83,183.83
"Dec 26, 2024",197.48,199.4,186.86,188.22,188.22
"Dec 25, 2024",196.99,201.63,195.35,197.48,197.48
"Dec 24, 2024",189.75,198.7,186.12,196.99,196.99
"Dec 23, 2024",180.17,193.05,176.72,189.75,189.75
"Dec 22, 2024",181.29,187.53,177.13,180.17,180.17
"Dec 21, 2024",194.21,201.63,178.74,181.3,181.3
"Dec 20, 2024",194.28,199.36,175.91,194.21,194.21
"Dec 19, 2024",206.38,212,188.03,194.28,194.28
"Dec 18, 2024",222.82,225.89,205,206.38,206.38
"Dec 17, 2024",216.33,228.69,211.91,222.82,222.82
"Dec 16, 2024",223.66,227.04,213.48,216.33,216.33
"Dec 15, 2024",219.84,225.07,215.91,223.66,223.66
"Dec 14, 2024",224.84,227.24,215.34,219.84,219.84
"Dec 13, 2024",227.03,228.27,220.82,224.84,224.84
"Dec 12, 2024",227.45,234.33,225.95,227.03,227.03
"Dec 11, 2024",213.84,230.51,211.99,227.45,227.45
"Dec 10, 2024",217.33,220.74,203.72,213.82,213.82
"Dec 9, 2024",237.46,237.46,209.71,217.34,217.34
"Dec 8, 2024",239.49,241.44,233.71,236.67,236.67
"Dec 7, 2024",237.05,243.12,234.66,238.55,238.55
"Dec 6, 2024",236.54,246.42,231.43,237.05,237.05
"Dec 5, 2024",229.12,244.68,223.46,234,234
"Dec 4, 2024",234.2,240.72,225.25,229.12,229.12
"Dec 3, 2024",225.77,239.27,216.47,234.2,234.2
"Dec 2, 2024",237.07,237.88,220.55,225.76,225.76
"Dec 1, 2024",237.74,239.81,234.53,237.07,237.07
"Nov 30, 2024",243.55,245.24,237.72,237.74,237.74
"Nov 29, 2024",237.76,246.78,236.82,243.55,243.55
"Nov 28, 2024",242.3,245.2,233.2,237.76,237.76
"Nov 27, 2024",230.97,243.12,228.13,242.3,242.3
"Nov 26, 2024",234.45,239.64,222.96,230.98,230.98
"Nov 25, 2024",252.92,256.42,231.55,234.45,234.45
"Nov 24, 2024",255.18,259.63,243.12,252.92,252.92
"Nov 23, 2024",256.52,263.83,253.19,255.18,255.18
"Nov 22, 2024",257.08,263.7,252.14,256.52,256.52
"Nov 21, 2024",235.43,259.05,230.34,257.07,257.07
"Nov 20, 2024",238.09,242.11,230.91,235.42,235.42
"Nov 19, 2024",239.8,247.09,234.15,238.1,238.1
"Nov 18, 2024",237.58,248.19,234.4,239.79,239.79
"Nov 17, 2024",215.85,241.24,212.73,237.58,237.58
"Nov 16, 2024",218.57,221.66,213.8,215.85,215.85
"Nov 15, 2024",209.24,219.54,204.83,218.09,218.09
"Nov 14, 2024",215.18,222.64,207.5,209.22,209.22
"Nov 13, 2024",212.21,220.34,201.47,215.18,215.18
"Nov 12, 2024",222.64,225.01,205.45,212.23,212.23
"Nov 11, 2024",210.61,223.22,204.56,222.64,222.64
"Nov 10, 2024",200.2,215.18,198.98,210.61,210.61
"Nov 9, 2024",199.94,203.35,195.47,200.19,200.19
"Nov 8, 2024",196.33,204.97,196.02,199.94,199.94
"Nov 7, 2024",186.95,197.9,186.14,196.33,196.33
"Nov 6, 2024",166.72,189.92,166.7,186.95,186.95
"Nov 5, 2024",157.75,169.13,156.99,166.72,166.72
"Nov 4, 2024",162.55,164.71,155.17,157.75,157.75
"Nov 3, 2024",166.01,166.38,158.14,162.55,162.55
"Nov 2, 2024",166.26,168.46,162.39,166.01,166.01
"Nov 1, 2024",168.43,173.85,164.03,166.26,166.26
"Oct 31, 2024",174.93,176.28,167.58,168.43,168.43
"Oct 30, 2024",179.36,181.15,173.4,174.92,174.92
"Oct 29, 2024",178.1,183.04,176.86,179.36,179.36
"Oct 28, 2024",176.55,179.41,172.87,178.1,178.1
"Oct 27, 2024",170.71,177.9,170.19,176.55,176.55
"Oct 26, 2024",164.76,172.82,162.44,170.71,170.71
"Oct 25, 2024",177.16,177.19,160.04,164.76,164.76
"Oct 24, 2024",171.11,179,170.52,177.16,177.16
"Oct 23, 2024",167.26,173.82,164.19,170.93,170.93
"Oct 22, 2024",166.22,170.76,163.29,167.26,167.26
"Oct 21, 2024",166.94,171.43,161.81,166.22,166.22
"Oct 20, 2024",159.64,167.59,157.77,166.94,166.94
"Oct 19, 2024",154.98,159.71,153.91,159.64,159.64
"Oct 18, 2024",150.32,156.54,149.7,154.98,154.98
"Oct 17, 2024",154.24,155.55,147.94,150.32,150.32
"Oct 16, 2024",154.72,158.14,153.08,154.23,154.23
"Oct 15, 2024",157.45,158.72,150.91,154.72,154.72
"Oct 14, 2024",147.57,157.75,147.01,157.45,157.45
"Oct 13, 2024",146.5,148.71,144.62,147.57,147.57
"Oct 12, 2024",145.38,147.14,144.76,146.5,146.5
"Oct 11, 2024",138.89,146.43,138.76,145.38,145.38
"Oct 10, 2024",139.31,140.58,135.58,138.89,138.89
"Oct 9, 2024",143.4,145.13,138.8,139.32,139.32
"Oct 8, 2024",143.99,145.45,141.24,143.39,143.39
"Oct 7, 2024",146.44,152.1,143.6,143.99,143.99
"Oct 6, 2024",142.71,146.62,142.11,146.44,146.44
"Oct 5, 2024",143.17,144.83,141.17,142.71,142.71
"Oct 4, 2024",136.79,144.43,136.08,143.17,143.17
"Oct 3, 2024",140.38,142.81,133.55,136.79,136.79
"Oct 2, 2024",145.29,148.83,138.92,140.39,140.39
"Oct 1, 2024",152.62,157.26,142.84,145.29,145.29
"Sep 30, 2024",158.63,159.51,152.02,152.62,152.62
"Sep 29, 2024",156.91,161.62,155.24,158.63,158.63
"Sep 28, 2024",157.75,159.35,155.3,156.91,156.91
"Sep 27, 2024",155.58,160.98,154.13,157.75,157.75
"Sep 26, 2024",148.02,157.86,146.87,155.58,155.58
"Sep 25, 2024",152.89,153.55,147.45,148.02,148.02
"Sep 24, 2024",144.81,153.54,143.3,152.89,152.89
"Sep 23, 2024",144.8,148.97,142.64,144.81,144.81
"Sep 22, 2024",149.53,149.87,141.38,144.8,144.8
"Sep 21, 2024",146.57,149.84,144.8,149.53,149.53
"Sep 20, 2024",142.84,151.76,141.32,146.57,146.57
"Sep 19, 2024",133.99,143.9,133.99,142.84,142.84
"Sep 18, 2024",131.54,133.99,127.25,133.99,133.99
"Sep 17, 2024",131.47,135.49,130.48,131.54,131.54
"Sep 16, 2024",131.5,132.3,129.14,131.47,131.47
"Sep 15, 2024",137.18,137.92,130.97,131.5,131.5
"Sep 14, 2024",139.1,139.73,135.94,137.18,137.18
"Sep 13, 2024",136.14,139.83,131.86,139.1,139.1
"Sep 12, 2024",132.5,136.61,132.44,136.14,136.14
"Sep 11, 2024",135.63,135.8,128.43,132.5,132.5
"Sep 10, 2024",135.03,137.81,132.63,135.64,135.64
"Sep 9, 2024",129.99,136.19,127.22,135.03,135.03
"Sep 8, 2024",127.72,131.52,126.81,129.99,129.99
"Sep 7, 2024",124.99,129.29,124.27,127.72,127.72
"Sep 6, 2024",129.33,134.17,121.06,124.99,124.99
"Sep 5, 2024",133.6,135.09,128.14,129.33,129.33
"Sep 4, 2024",127.58,134.87,123.61,133.6,133.6
"Sep 3, 2024",135,137.14,127.57,127.58,127.58
"Sep 2, 2024",128.69,135.35,127.27,135,135
"Sep 1, 2024",135.37,136,128.24,128.69,128.69
"Aug 31, 2024",138.1,138.99,134.64,135.37,135.37
"Aug 30, 2024",140.05,141.01,132.45,138.1,138.1
"Aug 29, 2024",143.89,147.22,138.27,140.05,140.05
"Aug 28, 2024",146.9,148.69,140.97,143.89,143.89
"Aug 27, 2024",157.24,159.62,145.66,146.9,146.9
"Aug 26, 2024",158.91,161.91,155.88,157.24,157.24
"Aug 25, 2024",160.73,161.95,155.51,158.91,158.91
"Aug 24, 2024",153.11,162.17,152.15,160.73,160.73
"Aug 23, 2024",143.26,153.77,143.16,153.11,153.11
"Aug 22, 2024",142.71,144.81,140.93,143.26,143.26
"Aug 21, 2024",142.33,144.16,139.27,142.71,142.71
"Aug 20, 2024",144.35,148.65,141.36,143.17,143.17
